Summary,Issue Type,Status,Priority,Labels,Assignee,Description
"Setup GitLab repository",Task,To Do,High,infra;setup,"Create GitLab project at https://gitlab.com/projects/new - Project name: OraProjekt - Visibility: Private - Initialize with README - Add remote: git remote add gitlab https://gitlab.com/USERNAME/oraprojekt.git - Push: git push gitlab main"
"Deploy web app to Vercel",Task,To Do,High,infra;deploy,"1. npm i -g vercel - 2. vercel --prod - 3. Add environment variables in Vercel dashboard - 4. Update capacitor.config.ts with production URL"
"Buy domain oraprojekt.com",Task,To Do,Medium,infra;domain,"Buy domain from Namecheap/Cloudflare/GoDaddy - Configure DNS to point to Vercel - Add CNAME record: www → oraprojekt.com"
"Configure Google OAuth for production",Task,To Do,High,auth;oauth,"1. Go to Google Cloud Console - 2. Create OAuth 2.0 credentials - 3. Add authorized redirect URI: https://oraprojekt.com/api/auth/callback/google - 4. Add Client ID + Secret to Vercel env vars"
"Configure Microsoft Entra ID OAuth",Task,To Do,Medium,auth;oauth,"1. Go to entra.microsoft.com - 2. Register application - 3. Add redirect URI: https://oraprojekt.com/api/auth/callback/azure-ad - 4. Add Client ID + Secret to env vars"
"Apple Developer Account enrollment",Task,To Do,High,mobile;ios,"1. Go to developer.apple.com/programs - 2. Enroll ($99/year) - 3. Wait for approval (1-2 days) - 4. Download Xcode on Mac"
"Google Play Console registration",Task,To Do,High,mobile;android,"1. Go to play.google.com/console - 2. Register ($25 one-time) - 3. Complete identity verification - 4. Wait for approval (1-3 days)"
"Build and submit iOS app",Story,To Do,High,mobile;ios,"As a manager I want to download OraProjekt from App Store so I can track hours on my iPhone - 1. npx cap open ios - 2. Xcode: Product → Archive - 3. Distribute to App Store Connect - 4. Submit for review"
"Build and submit Android app",Story,To Do,High,mobile;android,"As a manager I want to download OraProjekt from Play Store so I can track hours on my Samsung - 1. Generate keystore - 2. npx cap open android - 3. Build .aab - 4. Upload to Play Console - 5. Roll out to production"
"Migrate to PostgreSQL",Task,Backlog,Medium,infra;database,"For 50+ clients: 1. Provision PostgreSQL (Supabase/Neon/RDS) - 2. Update DATABASE_URL - 3. Run prisma migrate - 4. Test data integrity - 5. Switch DNS"
"Implement Row-Level Security (RLS)",Task,Backlog,Medium,security;database,"After PostgreSQL migration: 1. Create RLS policies for each table - 2. Enable RLS - 3. Set tenant context per session - 4. Test cross-tenant isolation"
"Create Confluence space + import docs",Task,To Do,Low,docs;confluence,"1. Create Confluence space 'OP Engineering' - 2. Import docs/API.md as API Reference page - 3. Import docs/ARCHITECTURE.md - 4. Import docs/DEPLOYMENT.md"
"Generate App Store screenshots",Task,To Do,Medium,mobile;design,"Take screenshots for: iPhone 6.7\" (1290x2796), iPhone 6.5\" (1242x2688), iPad 12.9\" (2048x2732) - Use docs/screenshots/ as base - Resize with sips/imagemagick"
"Generate Play Store screenshots",Task,To Do,Medium,mobile;design,"Take screenshots 16:9 aspect ratio, min 320px, max 3840px - Minimum 2, maximum 8 - Use docs/screenshots/ as base"
"Write privacy policy page",Task,To Do,High,legal;web,"Create https://oraprojekt.com/privacy - Template in docs/DEPLOYMENT.md section 6 - Required for App Store + Play Store approval"
"Write terms of service page",Task,To Do,Medium,legal;web,"Create https://oraprojekt.com/terms - Cover: usage, data ownership, liability, cancellation"
"Setup error monitoring (Sentry)",Task,Backlog,Low,infra;monitoring,"1. Create Sentry account - 2. npm i @sentry/nextjs - 3. Configure in next.config.ts - 4. Add SENTRY_DSN env var"
"Setup analytics (Plausible/Posthog)",Task,Backlog,Low,infra;analytics,"1. Create Plausible account - 2. Add script to layout.tsx - 3. Or self-host Posthog for detailed analytics"
"Implement push notifications",Story,Backlog,Medium,mobile;notifications,"As an employee I want to receive push notifications when my hours are approved or rejected - 1. Setup Expo Push - 2. Add /api/notifications endpoint - 3. Register device tokens - 4. Send on status change"
"Implement email notifications",Story,Backlog,Low,web;notifications,"As a manager I want to receive email when employee submits hours for approval - 1. Setup Resend/SendGrid - 2. Create email templates - 3. Send on timesheet.submit"
"Add project budget alerts",Story,Backlog,Low,web;features,"As a manager I want to be alerted when a project reaches 80% of budget - 1. Add cron job - 2. Check loggedHours vs budgetHours - 3. Send notification"
"Bulk timesheet import (CSV)",Story,Backlog,Low,web;features,"As a manager I want to import timesheets from CSV so I can migrate from Excel - 1. Add /api/timesheets/import - 2. Parse CSV - 3. Validate + create entries"
"Export reports as PDF",Story,Backlog,Low,web;features,"As a manager I want to download monthly reports as PDF so I can share with clients - 1. Use puppeteer/reports - 2. Generate PDF from report view - 3. Download button"
"Multi-language support (EN/SQ)",Story,Backlog,Low,web;i18n,"As a user I want to switch between Albanian and English - 1. Add next-intl - 2. Extract strings to JSON - 3. Add language switcher in settings"
"Audit log",Story,Backlog,Medium,security;web,"As a manager I want to see who changed what and when - 1. Create AuditLog model - 2. Log all CRUD operations - 3. View in settings"
"API rate limiting",Task,Backlog,Medium,security;api,"1. Install upstash/ratelimit - 2. Configure per-IP and per-user limits - 3. Add to auth (10/min) and API (100/min)"
"Setup backup automation",Task,To Do,High,infra;backup,"1. Add backup script to scripts/backup.sh - 2. Cron job daily at 2 AM - 3. Upload to S3/Backblaze - 4. Retain 30 days"
"Penetration testing",Task,Backlog,Low,security;testing,"Before production launch: 1. Run OWASP ZAP scan - 2. Test auth bypass - 3. Test tenant isolation - 4. Test XSS/SQL injection"
"User onboarding flow",Story,Backlog,Medium,web;ux,"As a new user I want a guided tour so I can learn the app - 1. Add tour component - 2. Highlight key features - 3. Show on first login"
"Project templates",Story,Backlog,Low,web;features,"As a manager I want to create projects from templates so I can save time - 1. Create template model - 2. Predefined roles/budgets - 3. One-click create"
"Mobile offline mode",Story,Backlog,Medium,mobile;offline,"As an employee I want to log hours offline so I can work without internet - 1. Cache timesheets in SQLite - 2. Sync when online - 3. Conflict resolution"
